CustomerID,CustomerFirstName,CustomerLastName,CustomerCategory,CustomerAddress,BillingAddress,DeliveryAddress,PhoneNo,Email,CityID
1,Tiffany,Jacobs,External,"317 Elm St, Richmond, British Columbia, Canada","509 Wilson Stravenue Apt. 761
Port Anna, TX 33347","PSC 0872, Box 5421
APO AP 37124",+1-427-391-2705x885,katiechambers@example.com,293
2,Faith,Vaughn,External,"135 Station St, Braunschweig, Lower Saxony, Germany","95291 Matthew Vista Suite 734
Olsonstad, CT 82845","2729 Maurice Trafficway Apt. 494
Crawfordside, NC 92421",436-951-9116,cbrown@example.com,171
3,Wendy,Johnston,Distributor,"882 Park St, Birmingham, England, UK","0784 Tyler Oval Suite 805
Murphyton, KY 77474","1570 Alexander Course Suite 538
West Elizabethstad, AK 43854",(207)793-8449x7109,dnguyen@example.com,424
4,James,Montgomery,External,"999 Cedar St, Kensington, Prince Edward Island, Canada","1409 Steven Isle Suite 321
Lake Steven, VI 76644","81545 James Vista
East Davidborough, NM 62443",996.732.0710,eric06@example.com,474
5,Amy,Anderson,Distributor,"139 Cedar St, Labrador City, Newfoundland and Labrador, Canada","613 Franklin Square Suite 059
Michaelborough, MS 34175","351 Valentine Cape Apt. 020
Smithville, TX 16000",701.206.3266x87607,xavier26@example.org,183
6,Ashley,Golden,External,"647 Cedar St, Steinbach, Manitoba, Canada","50582 Lopez Center
South Luisfurt, ME 05553","363 Kimberly Burg
South Neilside, DE 75702",001-902-786-3688,beaton@example.org,471
7,Nicholas,Faulkner,External,"494 Station St, Dabakala, Bouaké, Ivory Coast","412 Alison Rue Suite 477
Elizabethhaven, MD 55377","635 Reyes Harbors
Port Christopher, FM 43403",796.918.8508x850,paul71@example.net,364
8,Denise,Higgins,External,"453 Oak St, Saint John, New Brunswick, Canada","40903 Heather Plains
West Emily, VA 33637","119 Johnson Fork
Lake Brooketon, KY 55432",923-894-4648,klineamber@example.net,39
9,Jonathan,Owens,Distributor,"311 Main St, Zaria, Kaduna State, Nigeria","4606 Johnson Park
Spenceton, LA 84650","870 Henry Skyway Apt. 392
Roblesfort, MA 96543",471-656-9126,nchan@example.org,15
10,Jack,Aguilar,External,"353 Oak St, Edmonton, Alberta, Canada","74101 Willie Lights
South Derek, CT 76787","USNS Watson
FPO AP 55945",001-574-370-4816x5423,fletchermichael@example.org,376
11,Destiny,Baker,Distributor,"705 Maple St, Charlottetown, Prince Edward Island, Canada","1453 Gray Avenue Apt. 612
Perryborough, MD 72696","08502 Willis Rest Suite 244
Whiteburgh, IN 41571",401.551.4342,kathrynbradley@example.com,4
12,Brandon,Cline,External,"10 Maple St, Cornwall, Prince Edward Island, Canada","03688 Smith Shore Suite 306
West Jacob, DC 14759","74237 Mcdonald Corner Apt. 550
Port Josephbury, DC 74208",445.957.7358x552,joanna65@example.com,349
13,Karen,Huber,Distributor,"816 Main St, Mount Pearl, Newfoundland and Labrador, Canada","1179 Jonathon Island
West Kristin, IL 93420","683 Contreras Land Suite 290
West Jeremy, SC 67059",(618)956-9038x4956,drewlewis@example.com,470
14,Charles,Davenport,External,"904 Station St, Nantong, Jiangsu, China","944 Matthew Cape Suite 553
North Veronica, MT 04478","5972 Xavier Lake Apt. 925
Danaton, CA 29775",(867)903-1800x6253,stevenlara@example.org,409
15,Brittany,Williams,Distributor,"733 Church St, Kano Municipal, Kano State, Nigeria","495 Howard Mission Apt. 604
West Josephtown, GA 93650","4469 Heath Lights Suite 491
Toddstad, FL 67281",560.653.2969,sethhuber@example.org,397
